               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12304,            0.033897,                   0,            0.016013,            0.018868,            0.001913,           0.0001913,             0.11608,            0.031231,                   0,                 0.1,                   0,                   0
                   1,             0.12268,            0.033563,                   0,            0.012985,            0.018868,           0.0022144,          0.00022144,             0.11565,              0.0308,                   0,            0.099098,          9.8453e-05,          9.8453e-05
                   2,             0.12639,            0.031502,                   0,            0.026857,            0.018868,           0.0025177,          0.00025177,             0.11498,            0.030341,                   0,            0.098194,          0.00019381,          0.00019381
                   3,             0.12098,             0.03509,                   0,            0.019938,            0.018868,            0.002287,           0.0002287,             0.11371,             0.02974,                   0,            0.097286,          0.00028608,          0.00028608
                   4,             0.11936,            0.034536,                   0,            0.020424,            0.018868,           0.0026922,          0.00026922,             0.11202,            0.029073,                   0,            0.096375,          0.00037525,          0.00037525
                   5,              0.1185,            0.033969,                   0,             0.02306,            0.018868,           0.0034933,          0.00034933,             0.11053,            0.028275,                   0,            0.095461,          0.00046133,          0.00046133
                   6,              0.1152,            0.036297,                   0,            0.025209,            0.037736,           0.0073193,          0.00097734,             0.10845,            0.027531,                   0,            0.094544,          0.00054431,          0.00054431
                   7,             0.11099,            0.032713,                   0,            0.024954,            0.037736,           0.0088929,           0.0012718,             0.10618,            0.026796,                   0,            0.093624,           0.0006242,           0.0006242
                   8,             0.11031,            0.031633,                   0,            0.049217,            0.037736,            0.011963,           0.0021812,             0.10325,            0.026188,                   0,            0.092701,            0.000701,            0.000701
                   9,             0.10274,            0.031915,                   0,            0.074998,            0.056604,            0.024522,            0.005048,             0.10084,            0.025537,                   0,            0.091775,           0.0007747,           0.0007747
                  10,             0.10563,            0.031874,                   0,              0.1079,            0.056604,            0.026439,           0.0073279,            0.097722,            0.025013,                   0,            0.090845,          0.00084531,          0.00084531
                  11,            0.097931,            0.037167,                   0,             0.15561,            0.056604,            0.029829,           0.0086651,            0.093679,            0.024728,                   0,            0.089913,          0.00091283,          0.00091283
                  12,            0.093491,            0.033325,                   0,             0.23598,            0.056604,            0.032631,           0.0088161,            0.089794,            0.024373,                   0,            0.088977,          0.00097725,          0.00097725
                  13,            0.097251,            0.037802,                   0,              0.2957,            0.075472,             0.04883,            0.013909,            0.087003,            0.023973,                   0,            0.088039,           0.0010386,           0.0010386
                  14,            0.092472,            0.036831,                   0,             0.29215,            0.075472,             0.06902,            0.029635,            0.084967,            0.023559,                   0,            0.087097,           0.0010968,           0.0010968
                  15,            0.083311,            0.033446,                   0,             0.25181,             0.13208,            0.086289,            0.043582,             0.08512,            0.022908,                   0,            0.086152,            0.001152,            0.001152
                  16,              0.0869,            0.039044,                   0,             0.32722,             0.18868,             0.12896,            0.066923,            0.084404,             0.02239,                   0,            0.085204,            0.001204,            0.001204
                  17,            0.088432,            0.040161,                   0,              0.3786,             0.20755,              0.1419,            0.069908,             0.08211,             0.02216,                   0,            0.084253,            0.001253,            0.001253
                  18,            0.084116,            0.031604,                   0,             0.43075,             0.22642,             0.15788,            0.076971,            0.079304,            0.022116,                   0,            0.083299,           0.0012988,           0.0012988
                  19,            0.085229,             0.03351,                   0,             0.37976,             0.28302,             0.18583,             0.09724,            0.077681,              0.0217,                   0,            0.082342,           0.0013416,           0.0013416
                  20,            0.078621,            0.035104,                   0,             0.37436,             0.37736,             0.26462,             0.14605,            0.076477,            0.021522,                   0,            0.081381,           0.0013813,           0.0013813
                  21,            0.076268,            0.034804,                   0,             0.60411,             0.28302,             0.25003,             0.14232,             0.07586,            0.021344,                   0,            0.080418,           0.0014178,           0.0014178
                  22,            0.078227,            0.041218,                   0,             0.55039,             0.33962,             0.34046,              0.1845,            0.075673,            0.021232,                   0,            0.079451,           0.0014513,           0.0014513
                  23,            0.074145,            0.033581,                   0,             0.61421,             0.37736,             0.39032,             0.21387,            0.072246,            0.021743,                   0,            0.078482,           0.0014817,           0.0014817
                  24,            0.066262,            0.032328,                   0,             0.68178,             0.41509,              0.4677,             0.21916,            0.076745,            0.021709,                   0,            0.077509,            0.001509,            0.001509
                  25,            0.075252,            0.033292,                   0,             0.56388,             0.39623,             0.41082,             0.19403,            0.071399,            0.022657,                   0,            0.076533,           0.0015332,           0.0015332
                  26,            0.074688,             0.02604,                   0,              0.6998,             0.41509,             0.48092,             0.27254,            0.072285,            0.023285,                   0,            0.075554,           0.0015543,           0.0015543
                  27,            0.071726,            0.033253,                   0,             0.69993,             0.45283,             0.51507,             0.27033,            0.067032,            0.024006,                   0,            0.074572,           0.0015723,           0.0015723
                  28,            0.071093,            0.032189,                   0,             0.62347,             0.43747,             0.50033,             0.28055,              0.0701,            0.024653,                   0,            0.073587,           0.0015873,           0.0015873
                  29,            0.069812,            0.038739,                   0,             0.59209,             0.45283,             0.46807,             0.29192,            0.064405,            0.025307,                   0,            0.072599,           0.0015991,           0.0015991
                  30,            0.062839,            0.027595,                   0,             0.63242,              0.5283,             0.55754,              0.3452,            0.069774,            0.025529,                   0,            0.071608,           0.0016078,           0.0016078
                  31,            0.070539,            0.040176,                   0,             0.73418,              0.6254,             0.62107,             0.25959,            0.063032,            0.025683,                   0,            0.070613,           0.0016135,           0.0016135
                  32,            0.063944,            0.034207,                   0,              0.4924,             0.56741,             0.53297,             0.31053,            0.068402,            0.025983,                   0,            0.069616,            0.001616,            0.001616
                  33,            0.061522,            0.024382,                   0,             0.68166,             0.62264,             0.59816,             0.24613,            0.060943,            0.025043,                   0,            0.068615,           0.0016155,           0.0016155
                  34,            0.065665,            0.033805,                   0,             0.72562,             0.64151,             0.66895,             0.25869,            0.065914,            0.025172,                   0,            0.067612,           0.0016118,           0.0016118
                  35,            0.067934,            0.033477,                   0,             0.78168,             0.64151,             0.74445,             0.32296,            0.059898,             0.02391,                   0,            0.066605,           0.0016051,           0.0016051
                  36,            0.062717,            0.028102,                   0,             0.66073,             0.62264,             0.68395,             0.31139,            0.066422,            0.023722,                   0,            0.065595,           0.0015952,           0.0015952
                  37,            0.065571,            0.027842,                   0,             0.62464,             0.60377,             0.66617,             0.26473,            0.059015,              0.0225,                   0,            0.064582,           0.0015823,           0.0015823
                  38,            0.063687,            0.027935,                   0,             0.62804,             0.60377,             0.65023,             0.23821,            0.062494,            0.022122,                   0,            0.063566,           0.0015663,           0.0015663
                  39,            0.060647,            0.022203,                   0,             0.75095,             0.62264,              0.7106,             0.36101,            0.057956,            0.021103,                   0,            0.062547,           0.0015472,           0.0015472
                  40,            0.055516,            0.028911,                   0,             0.61645,             0.57626,             0.61015,             0.35005,            0.060107,            0.020805,                   0,            0.061525,            0.001525,            0.001525
                  41,            0.060847,            0.031756,                   0,             0.72191,             0.62264,             0.71537,             0.36595,            0.056489,            0.020279,                   0,              0.0605,           0.0014997,           0.0014997
