               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12108,            0.068763,            0.068564,          0.00096365,            0.017424,          0.00053381,          8.3259e-05,             0.12347,            0.043521,            0.069355,                 0.1,                   0,                   0
                   1,             0.12485,            0.060342,            0.070361,          0.00054054,           0.0090909,          0.00029716,          5.9432e-05,             0.12315,            0.043609,            0.069359,            0.099098,          9.8453e-05,          9.8453e-05
                   2,             0.12303,            0.056342,            0.069603,          0.00054348,           0.0090909,          0.00029879,          5.9757e-05,             0.12259,            0.043825,             0.06935,            0.098194,          0.00019381,          0.00019381
                   3,             0.12134,            0.063537,            0.070657,          0.00056497,           0.0090909,          0.00030816,          3.0816e-05,             0.12143,            0.044431,            0.069286,            0.097286,          0.00028608,          0.00028608
                   4,             0.11971,            0.061573,             0.06814,          0.00056818,           0.0090909,          0.00033927,          3.3927e-05,             0.12013,            0.045111,            0.069247,            0.096375,          0.00037525,          0.00037525
                   5,             0.12132,            0.072231,            0.069335,          0.00061728,           0.0090909,          0.00035286,          3.5286e-05,             0.11824,            0.046174,            0.069274,            0.095461,          0.00046133,          0.00046133
                   6,              0.1173,            0.066827,            0.068313,          0.00065789,           0.0090909,          0.00037358,          7.4717e-05,             0.11608,            0.047512,            0.069373,            0.094544,          0.00054431,          0.00054431
                   7,             0.11789,            0.074483,            0.067873,          0.00060606,           0.0090909,          0.00035707,          0.00010712,             0.11385,            0.049005,            0.069437,            0.093624,           0.0006242,           0.0006242
                   8,             0.11577,            0.078128,            0.069407,                   0,                   0,                   0,                   0,               0.111,            0.050812,            0.069507,            0.092701,            0.000701,            0.000701
                   9,             0.11424,            0.087759,            0.068934,          0.00060241,           0.0090909,          0.00040707,          0.00012212,              0.1082,            0.052438,            0.069451,            0.091775,           0.0007747,           0.0007747
                  10,              0.1092,            0.088755,            0.067501,           0.0010568,            0.020202,          0.00069946,          0.00025376,             0.10492,            0.054255,            0.069296,            0.090845,          0.00084531,          0.00084531
                  11,             0.10781,            0.083926,            0.067803,            0.001742,            0.029293,           0.0010682,          0.00010682,             0.10228,            0.055818,            0.069199,            0.089913,          0.00091283,          0.00091283
                  12,              0.1067,            0.070059,            0.068653,           0.0019955,            0.031313,           0.0013278,          0.00023031,            0.099842,              0.0566,            0.069309,            0.088977,          0.00097725,          0.00097725
                  13,              0.1053,            0.072025,            0.067711,           0.0030521,            0.027273,           0.0021762,          0.00040756,            0.098182,            0.056535,            0.069332,            0.088039,           0.0010386,           0.0010386
                  14,             0.10057,            0.082351,            0.068099,           0.0092214,             0.10914,           0.0061443,          0.00089295,             0.09956,            0.055542,            0.068051,            0.087097,           0.0010968,           0.0010968
                  15,             0.10422,             0.07908,            0.066652,            0.012975,             0.19833,             0.01269,           0.0036262,            0.097774,            0.055532,            0.067423,            0.086152,            0.001152,            0.001152
                  16,            0.097236,             0.07263,            0.067928,            0.012304,             0.29455,            0.016867,           0.0044723,            0.096213,            0.055358,            0.067121,            0.085204,            0.001204,            0.001204
                  17,            0.097721,             0.06093,            0.067967,            0.012304,             0.29455,            0.016867,           0.0044723,            0.096213,            0.055358,            0.067121,            0.084253,            0.001253,            0.001253
