               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067739,            0.022874,              0.1035,           0.0039777,             0.82382,            0.014964,           0.0066148,            0.051298,           0.0082405,            0.094038,            0.070201,            0.003311,            0.003311
                   1,            0.047902,            0.018734,            0.090096,             0.88072,            0.040074,            0.039005,            0.018397,            0.041742,           0.0072968,            0.078184,            0.040188,           0.0066311,           0.0066311
                   2,              0.0455,            0.017547,            0.077371,             0.72113,            0.099531,            0.072247,            0.031358,            0.044802,           0.0074852,              0.0652,            0.010162,           0.0099381,           0.0099381
                   3,            0.042982,            0.017422,            0.068199,             0.72941,             0.13815,             0.10894,            0.052965,            0.043421,           0.0074736,            0.056765,           0.0099406,           0.0099406,           0.0099406
                   4,            0.042412,            0.017443,            0.062404,             0.67565,              0.1771,             0.14227,            0.071978,            0.041432,           0.0078118,            0.052744,           0.0099406,           0.0099406,           0.0099406
                   5,            0.041121,            0.017276,            0.057995,             0.66181,             0.21753,             0.17564,            0.087165,            0.043745,           0.0073438,            0.046412,           0.0099208,           0.0099208,           0.0099208
                   6,            0.040617,            0.016956,            0.054607,             0.60448,             0.27531,             0.22851,             0.11472,            0.040132,           0.0070246,            0.041458,            0.009901,            0.009901,            0.009901
                   7,            0.040561,             0.01693,            0.052596,             0.53375,             0.28825,             0.21107,             0.10531,            0.041342,           0.0071971,            0.044084,           0.0098812,           0.0098812,           0.0098812
                   8,            0.039887,            0.016704,            0.051391,             0.55071,             0.34383,             0.27874,             0.14562,            0.039867,            0.006967,            0.035639,           0.0098614,           0.0098614,           0.0098614
                   9,            0.039604,             0.01687,            0.049546,             0.58747,             0.35827,             0.29657,             0.16084,            0.038324,           0.0070032,            0.035065,           0.0098416,           0.0098416,           0.0098416
                  10,            0.039344,            0.016689,             0.04758,             0.57209,             0.37452,             0.32297,             0.17501,            0.037807,           0.0069098,            0.032751,           0.0098218,           0.0098218,           0.0098218
                  11,            0.039499,            0.016781,            0.045678,             0.57409,             0.38174,             0.33857,             0.17949,            0.037921,           0.0069377,            0.031055,            0.009802,            0.009802,            0.009802
                  12,            0.039274,            0.016617,            0.045232,             0.52275,             0.34184,             0.29397,             0.15512,            0.039674,           0.0072489,            0.036529,           0.0097822,           0.0097822,           0.0097822
                  13,            0.038854,            0.016511,            0.043635,             0.58326,             0.39081,             0.36654,              0.2006,            0.036164,           0.0067599,            0.029612,           0.0097624,           0.0097624,           0.0097624
                  14,            0.038824,            0.016461,            0.043186,             0.54377,             0.35241,             0.30818,             0.16358,            0.039687,           0.0073059,            0.035862,           0.0097426,           0.0097426,           0.0097426
                  15,            0.038635,            0.016417,              0.0422,             0.59991,              0.4177,             0.38502,              0.2126,            0.036604,            0.006757,             0.02864,           0.0097228,           0.0097228,           0.0097228
                  16,            0.038675,            0.016535,             0.04159,             0.58723,             0.44162,             0.41338,              0.2244,            0.035986,           0.0066962,            0.026406,            0.009703,            0.009703,            0.009703
                  17,            0.038438,            0.016408,            0.040603,             0.59869,             0.44284,             0.41696,             0.22955,            0.036082,           0.0068132,            0.026146,           0.0096832,           0.0096832,           0.0096832
                  18,            0.038137,            0.016344,            0.041147,             0.55372,             0.45555,             0.41383,             0.22534,            0.036597,            0.006826,             0.02686,           0.0096634,           0.0096634,           0.0096634
                  19,            0.038008,            0.016225,            0.039992,             0.60724,             0.45609,             0.43426,              0.2472,            0.035276,            0.006622,            0.024813,           0.0096436,           0.0096436,           0.0096436
                  20,            0.037922,            0.016191,              0.0392,             0.56221,             0.48559,             0.43758,             0.24494,            0.034918,           0.0065956,            0.025257,           0.0096238,           0.0096238,           0.0096238
                  21,            0.037594,            0.016201,            0.039298,             0.55024,             0.47695,             0.43578,             0.24666,            0.034891,           0.0065798,            0.027082,            0.009604,            0.009604,            0.009604
                  22,            0.037515,            0.016272,            0.038488,             0.54767,             0.51826,              0.4729,             0.26854,            0.035473,           0.0065002,            0.023155,           0.0095842,           0.0095842,           0.0095842
                  23,            0.037652,            0.016262,            0.038183,             0.59294,             0.49758,             0.47114,             0.26972,            0.034903,           0.0065795,            0.023444,           0.0095644,           0.0095644,           0.0095644
                  24,            0.037314,            0.016231,             0.03789,             0.57915,             0.52736,             0.48465,             0.27988,            0.034044,           0.0065251,            0.022558,           0.0095446,           0.0095446,           0.0095446
                  25,            0.037467,            0.016221,            0.037709,             0.59386,             0.51183,             0.48592,             0.28122,            0.034245,           0.0065182,             0.02294,           0.0095248,           0.0095248,           0.0095248
                  26,            0.037231,            0.016151,            0.036966,             0.55276,             0.55675,             0.49834,             0.28884,            0.033988,           0.0065386,            0.021908,            0.009505,            0.009505,            0.009505
                  27,            0.037288,            0.016134,            0.036497,             0.58362,             0.52522,             0.49355,             0.28662,            0.033632,           0.0065675,            0.022471,           0.0094852,           0.0094852,           0.0094852
                  28,            0.037048,            0.016056,            0.036286,             0.61309,             0.53466,             0.51527,             0.30094,             0.03328,           0.0064326,            0.020741,           0.0094654,           0.0094654,           0.0094654
                  29,             0.03702,            0.016036,            0.035858,             0.60428,             0.55434,             0.53385,               0.315,            0.033149,           0.0064043,            0.019893,           0.0094456,           0.0094456,           0.0094456
